Credit_Creation_Month,MOB,OVER_30
2025-08-31,6,0.1175
2025-08-31,7,0.121
2025-08-31,8,0.1243
2025-08-31,9,0.1254
2025-08-31,10,0.1132
2025-08-31,11,0.0601
2025-09-30,2,0.1266
2025-09-30,3,0.1289
2025-09-30,4,0.1323
2025-09-30,5,0.1391
2025-09-30,6,0.1429
2025-09-30,7,0.1453
2025-09-30,8,0.1478
2025-09-30,9,0.1351
2025-09-30,10,0.0635
2025-10-31,2,0.0819
2025-10-31,3,0.0992
2025-10-31,4,0.1118
2025-10-31,5,0.1208
2025-10-31,6,0.1319
2025-10-31,7,0.1359
2025-10-31,8,0.1301
2025-10-31,9,0.0563
2025-11-30,2,0.0756
2025-11-30,3,0.0989
2025-11-30,4,0.116
2025-11-30,5,0.1299
2025-11-30,6,0.1429
2025-11-30,7,0.1395
2025-11-30,8,0.0775
2025-12-31,2,0.0896
2025-12-31,3,0.0967
2025-12-31,4,0.1071
2025-12-31,5,0.1182
2025-12-31,6,0.1163
2025-12-31,7,0.0669
2026-01-31,2,0.0777
2026-01-31,3,0.0938
2026-01-31,4,0.1011
2026-01-31,5,0.1003
2026-01-31,6,0.0585
2026-02-28,2,0.0716
2026-02-28,3,0.0934
2026-02-28,4,0.0993
2026-02-28,5,0.114
2026-03-31,2,0.0796
2026-03-31,3,0.0749
2026-03-31,4,0.0896
2026-04-30,2,0.0557
2026-04-30,3,0.0635
2026-05-31,2,0.0614
